"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4333,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.414,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2562,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.9916,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.8354,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.8718,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.0662,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.228,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.3957,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.5296,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3447,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7554,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.91518,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.51708,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.60876,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.99048,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.2682,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.3395,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.2611,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1768,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.1072,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",100.0337,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.96826,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.88188,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.77045,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.74094,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.68893,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.61737,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.54401,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.42828,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.24459,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.09818,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.97474,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.8869,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",98.99767,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.4189,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.1006,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.5544,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.6181,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.436,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.2509,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.1514,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.1132,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.098,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0921,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.1213,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.257,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.5868,
