"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1960",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1961",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1962",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1963",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1964",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1965",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1966",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1967",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1968",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1969",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1970",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1971",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1972",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1973",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1974",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1975",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1976",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1977",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1978",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1979",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1980",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1981",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1982",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1983",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1984",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1985",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1986",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1987",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1988",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1989",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1990",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1991",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1992",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1993",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1994",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1995",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1996",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1997",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1998",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","1999",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2000",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2001",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2002",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2003",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2004",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2005",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2006",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2007",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2008",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2009",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2010",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2011",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2012",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2013",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2014",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2015",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2016",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"AUS","ELECTRICITY","TOT","GWH","A","1960",0,
"AUS","ELECTRICITY","TOT","GWH","A","1961",0,
"AUS","ELECTRICITY","TOT","GWH","A","1962",0,
"AUS","ELECTRICITY","TOT","GWH","A","1963",0,
"AUS","ELECTRICITY","TOT","GWH","A","1964",0,
"AUS","ELECTRICITY","TOT","GWH","A","1965",0,
"AUS","ELECTRICITY","TOT","GWH","A","1966",0,
"AUS","ELECTRICITY","TOT","GWH","A","1967",0,
"AUS","ELECTRICITY","TOT","GWH","A","1968",0,
"AUS","ELECTRICITY","TOT","GWH","A","1969",0,
"AUS","ELECTRICITY","TOT","GWH","A","1970",0,
"AUS","ELECTRICITY","TOT","GWH","A","1971",0,
"AUS","ELECTRICITY","TOT","GWH","A","1972",0,
"AUS","ELECTRICITY","TOT","GWH","A","1973",0,
"AUS","ELECTRICITY","TOT","GWH","A","1974",67938,
"AUS","ELECTRICITY","TOT","GWH","A","1975",71823,
"AUS","ELECTRICITY","TOT","GWH","A","1976",74710,
"AUS","ELECTRICITY","TOT","GWH","A","1977",80257,
"AUS","ELECTRICITY","TOT","GWH","A","1978",83436,
"AUS","ELECTRICITY","TOT","GWH","A","1979",88152,
"AUS","ELECTRICITY","TOT","GWH","A","1980",92468,
"AUS","ELECTRICITY","TOT","GWH","A","1981",99217,
"AUS","ELECTRICITY","TOT","GWH","A","1982",99929,
"AUS","ELECTRICITY","TOT","GWH","A","1983",100625,
"AUS","ELECTRICITY","TOT","GWH","A","1984",106374,
"AUS","ELECTRICITY","TOT","GWH","A","1985",114295,
"AUS","ELECTRICITY","TOT","GWH","A","1986",119102,
"AUS","ELECTRICITY","TOT","GWH","A","1987",125291,
"AUS","ELECTRICITY","TOT","GWH","A","1988",131163,
"AUS","ELECTRICITY","TOT","GWH","A","1989",139174,
"AUS","ELECTRICITY","TOT","GWH","A","1990",144926,
"AUS","ELECTRICITY","TOT","GWH","A","1991",147121,
"AUS","ELECTRICITY","TOT","GWH","A","1992",149306,
"AUS","ELECTRICITY","TOT","GWH","A","1993",153420,
"AUS","ELECTRICITY","TOT","GWH","A","1994",157232,
"AUS","ELECTRICITY","TOT","GWH","A","1995",162402,
"AUS","ELECTRICITY","TOT","GWH","A","1996",166640,
"AUS","ELECTRICITY","TOT","GWH","A","1997",171912,
"AUS","ELECTRICITY","TOT","GWH","A","1998",183015,
"AUS","ELECTRICITY","TOT","GWH","A","1999",190064,
"AUS","ELECTRICITY","TOT","GWH","A","2000",195402,
"AUS","ELECTRICITY","TOT","GWH","A","2001",206772,
"AUS","ELECTRICITY","TOT","GWH","A","2002",213004,
"AUS","ELECTRICITY","TOT","GWH","A","2003",205309,
"AUS","ELECTRICITY","TOT","GWH","A","2004",210162,
"AUS","ELECTRICITY","TOT","GWH","A","2005",214526,
"AUS","ELECTRICITY","TOT","GWH","A","2006",218390,
"AUS","ELECTRICITY","TOT","GWH","A","2007",227066,
"AUS","ELECTRICITY","TOT","GWH","A","2008",228073,
"AUS","ELECTRICITY","TOT","GWH","A","2009",232688,
"AUS","ELECTRICITY","TOT","GWH","A","2010",237384,
"AUS","ELECTRICITY","TOT","GWH","A","2011",240739,
"AUS","ELECTRICITY","TOT","GWH","A","2012",236580,
"AUS","ELECTRICITY","TOT","GWH","A","2013",235522,
"AUS","ELECTRICITY","TOT","GWH","A","2014",232621,
"AUS","ELECTRICITY","TOT","GWH","A","2015",238533,
"AUS","ELECTRICITY","TOT","GWH","A","2016",243262,
"AUS","ELECTRICITY","TOT","GWH","A","2017",243517,
"AUS","ELECTRICITY","TOT","GWH","A","2018",247292,
"AUS","ELECTRICITY","TOT","GWH","A","2019",250531,
"AUS","ELECTRICITY","TOT","GWH","A","2020",251913.481,
"AUS","ELECTRICITY","TOT","GWH","A","2021",,"L"
"AUT","ELECTRICITY","NUCLEAR","GWH","A","1960",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","1961",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","1962",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","1963",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","1964",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","1965",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","1966",0,
