"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WIRELESSWIRED","TOT","100HAB","A","2010",56.405,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2011",92.574,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2012",102.87,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2013",113.805,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2014",115.132,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2015",127.057,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2016",130.396,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2017",134.097,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2018",129.245,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2019",129.222,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2020",123.327,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2021",123.119,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2022",127.273,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2010",33.015,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2011",46.003,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2012",58.056,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2013",64.479,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2014",67.056,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2015",69.897,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2016",81.519,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2017",87.82,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2018",88.478,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2019",111.839,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2020",113.826,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2021",118.23,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2022",114.452,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2010",9.55,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2011",18.856,
