"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","NUCLEARPLANT","TOT","NBR","A","2019",7,
"CAN","NUCLEARPLANT","TOT","NBR","A","2019",19,
"CZE","NUCLEARPLANT","TOT","NBR","A","2019",6,
"FIN","NUCLEARPLANT","TOT","NBR","A","2019",4,
"FRA","NUCLEARPLANT","TOT","NBR","A","2019",58,
"DEU","NUCLEARPLANT","TOT","NBR","A","2019",7,
"HUN","NUCLEARPLANT","TOT","NBR","A","2019",4,
"JPN","NUCLEARPLANT","TOT","NBR","A","2019",38,
"KOR","NUCLEARPLANT","TOT","NBR","A","2019",24,
"MEX","NUCLEARPLANT","TOT","NBR","A","2019",2,
"NLD","NUCLEARPLANT","TOT","NBR","A","2019",1,
"SVK","NUCLEARPLANT","TOT","NBR","A","2019",4,
"ESP","NUCLEARPLANT","TOT","NBR","A","2019",7,
"SWE","NUCLEARPLANT","TOT","NBR","A","2019",8,
"CHE","NUCLEARPLANT","TOT","NBR","A","2019",5,
"GBR","NUCLEARPLANT","TOT","NBR","A","2019",15,
"USA","NUCLEARPLANT","TOT","NBR","A","2019",98,
"RUS","NUCLEARPLANT","TOT","NBR","A","2019",35,
"SVN","NUCLEARPLANT","TOT","NBR","A","2019",1,
"OECD","NUCLEARPLANT","TOT","NBR","A","2019",308,
"OECDE","NUCLEARPLANT","TOT","NBR","A","2019",127,
