"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EA19","PASSCAR","TOT","IDX2015","A","1985",75.6766666666667,
"EA19","PASSCAR","TOT","IDX2015","A","1986",84.245,
"EA19","PASSCAR","TOT","IDX2015","A","1987",90.9075,
"EA19","PASSCAR","TOT","IDX2015","A","1988",95.04,
"EA19","PASSCAR","TOT","IDX2015","A","1989",99.1241666666666,
"EA19","PASSCAR","TOT","IDX2015","A","1990",107,
"EA19","PASSCAR","TOT","IDX2015","A","1991",110.745833333333,
"EA19","PASSCAR","TOT","IDX2015","A","1992",112.075833333333,
"EA19","PASSCAR","TOT","IDX2015","A","1993",88.6,
"EA19","PASSCAR","TOT","IDX2015","A","1994",92.8591666666667,
"EA19","PASSCAR","TOT","IDX2015","A","1995",93.265,
"EA19","PASSCAR","TOT","IDX2015","A","1996",99.49,
"EA19","PASSCAR","TOT","IDX2015","A","1997",103.5475,
"EA19","PASSCAR","TOT","IDX2015","A","1998",111.670833333333,
"EA19","PASSCAR","TOT","IDX2015","A","1999",118.789166666667,
"EA19","PASSCAR","TOT","IDX2015","A","2000",115.8,
"EA19","PASSCAR","TOT","IDX2015","A","2001",114.880833333333,
"EA19","PASSCAR","TOT","IDX2015","A","2002",109.768333333333,
"EA19","PASSCAR","TOT","IDX2015","A","2003",108.084166666667,
"EA19","PASSCAR","TOT","IDX2015","A","2004",110.723333333333,
"EA19","PASSCAR","TOT","IDX2015","A","2005",111.471666666667,
"EA19","PASSCAR","TOT","IDX2015","A","2006",114.820833333333,
"EA19","PASSCAR","TOT","IDX2015","A","2007",114.074166666667,
"EA19","PASSCAR","TOT","IDX2015","A","2008",105.56,
"EA19","PASSCAR","TOT","IDX2015","A","2009",108.861666666667,
"EA19","PASSCAR","TOT","IDX2015","A","2010",99.9999999958333,
"EA19","PASSCAR","TOT","IDX2015","A","2011",98.6742552525,
"EA19","PASSCAR","TOT","IDX2015","A","2012",87.66552846,
"EA19","PASSCAR","TOT","IDX2015","A","2013",82.6369715483334,
"EA19","PASSCAR","TOT","IDX2015","A","2014",86.6618654408333,
"EA19","PASSCAR","TOT","IDX2015","A","2015",95.0258333333333,
"EA19","PASSCAR","TOT","IDX2015","A","2016",101.768333333333,
"EA19","PASSCAR","TOT","IDX2015","A","2017",106.8475,
"EA19","PASSCAR","TOT","IDX2015","A","2018",108.119166666667,
"EA19","PASSCAR","TOT","IDX2015","A","2019",109.6925,
"EA19","PASSCAR","TOT","IDX2015","A","2020",83.1575,
"EA19","PASSCAR","TOT","IDX2015","A","2021",80.6283333333333,
"EA19","PASSCAR","TOT","IDX2015","A","2022",77.1925,
"AUS","PASSCAR","TOT","IDX2015","M","1994-01",63.1550778288212,
"AUS","PASSCAR","TOT","IDX2015","M","1994-02",84.5659057987174,
"AUS","PASSCAR","TOT","IDX2015","M","1994-03",97.0712627718967,
"AUS","PASSCAR","TOT","IDX2015","M","1994-04",75.1135872231584,
"AUS","PASSCAR","TOT","IDX2015","M","1994-05",89.3106811742873,
"AUS","PASSCAR","TOT","IDX2015","M","1994-06",101.134223932144,
"AUS","PASSCAR","TOT","IDX2015","M","1994-07",88.1099435118086,
"AUS","PASSCAR","TOT","IDX2015","M","1994-08",93.8250824634514,
"AUS","PASSCAR","TOT","IDX2015","M","1994-09",93.9716841548005,
"AUS","PASSCAR","TOT","IDX2015","M","1994-10",92.6150367570775,
"AUS","PASSCAR","TOT","IDX2015","M","1994-11",102.1860328923,
"AUS","PASSCAR","TOT","IDX2015","M","1994-12",90.9209727681541,
"AUS","PASSCAR","TOT","IDX2015","M","1995-01",78.983406472581,
"AUS","PASSCAR","TOT","IDX2015","M","1995-02",89.4712449314792,
"AUS","PASSCAR","TOT","IDX2015","M","1995-03",106.721377280228,
"AUS","PASSCAR","TOT","IDX2015","M","1995-04",78.1829146975952,
"AUS","PASSCAR","TOT","IDX2015","M","1995-05",112.241047310072,
"AUS","PASSCAR","TOT","IDX2015","M","1995-06",106.607353742512,
"AUS","PASSCAR","TOT","IDX2015","M","1995-07",85.6572739454277,
"AUS","PASSCAR","TOT","IDX2015","M","1995-08",103.254130929272,
"AUS","PASSCAR","TOT","IDX2015","M","1995-09",89.8202965775486,
"AUS","PASSCAR","TOT","IDX2015","M","1995-10",92.6569229546058,
"AUS","PASSCAR","TOT","IDX2015","M","1995-11",98.0532614028386,
"AUS","PASSCAR","TOT","IDX2015","M","1995-12",94.7977730504981,
"AUS","PASSCAR","TOT","IDX2015","M","1996-01",75.9140789981442,
"AUS","PASSCAR","TOT","IDX2015","M","1996-02",97.4319494728351,
"AUS","PASSCAR","TOT","IDX2015","M","1996-03",99.4099088005616,
"AUS","PASSCAR","TOT","IDX2015","M","1996-04",85.7573354173009,
"AUS","PASSCAR","TOT","IDX2015","M","1996-05",104.894673665799,
"AUS","PASSCAR","TOT","IDX2015","M","1996-06",107.326400133415,
"AUS","PASSCAR","TOT","IDX2015","M","1996-07",96.6268036759016,
"AUS","PASSCAR","TOT","IDX2015","M","1996-08",97.5483000215249,
"AUS","PASSCAR","TOT","IDX2015","M","1996-09",89.8621827750769,
"AUS","PASSCAR","TOT","IDX2015","M","1996-10",98.8653882326933,
"AUS","PASSCAR","TOT","IDX2015","M","1996-11",95.9403354386319,
"AUS","PASSCAR","TOT","IDX2015","M","1996-12",95.4470091121871,
"AUS","PASSCAR","TOT","IDX2015","M","1997-01",81.366265709748,
"AUS","PASSCAR","TOT","IDX2015","M","1997-02",98.0672234686813,
"AUS","PASSCAR","TOT","IDX2015","M","1997-03",100.177822421914,
"AUS","PASSCAR","TOT","IDX2015","M","1997-04",98.0532614028386,
"AUS","PASSCAR","TOT","IDX2015","M","1997-05",102.011507069265,
